5: program -> PROGRAM
5: fact -> ID
5: ; -> SEMI
6: var -> VAR
7: int -> INT
7: x -> ID
7: ; -> SEMI
8: int -> INT
8: fact -> ID
8: ; -> SEMI
9: begin -> BEGIN
10: read -> READ
10: x -> ID
10: ; -> SEMI
11: if -> IF
11: 0 -> INT_VAL
11: < -> LT
11: x -> ID
11: then -> THEN
12: fact -> ID
12: := -> ASSIGN
12: 1 -> INT_VAL
12: ; -> SEMI
13: repeat -> REPEAT
14: fact -> ID
14: := -> ASSIGN
14: fact -> ID
14: * -> TIMES
14: x -> ID
14: ; -> SEMI
15: x -> ID
15: := -> ASSIGN
15: x -> ID
15: - -> MINUS
15: 1 -> INT_VAL
15: ; -> SEMI
16: until -> UNTIL
16: x -> ID
16: =  -> EQ
16: 0 -> INT_VAL
17: write -> WRITE
17: fact -> ID
17: ; -> SEMI
18: end -> END
19: end -> END

